crime_type,summary,modus_operandi,platforms,entities,location,temporal_information,financial_loss,severity,report_id,processing_status,error,category,sub_category
Cyberstalking/Harassment,"The complainant is receiving continuous random calls and abusive messages on WhatsApp, and was added to an unknown Facebook group named 'Only Girls', resulting in further calls from unknown numbers.","The offender is using multiple communication channels including WhatsApp and Facebook to harass the victim through unsolicited calls, abusive messages, and unwanted group additions.","['whatsapp', 'facebook']",['Only Girls'],,,Not specified,Medium,0,success,,Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting
Sextortion / Blackmail,Victim is being blackmailed by a fraudster who is threatening to send fake cropped nude photos to their contacts via WhatsApp if money is not paid.,"The offender is continuously messaging the victim, demanding money, and threatening to send fake cropped nude photos of the victim to their contacts via WhatsApp.",['WhatsApp'],"['fraudster', 'my other contacts']",,,Not specified,High,1,success,,Online Financial Fraud,Fraud CallVishing
"Impersonation, Extortion, Harassment","A person is impersonating a police officer and demanding money through text messages, frequently harassing the complainant.","The offender impersonates a police officer, sending text messages to demand money and adding official-sounding sections to the messages to intimidate the victim.",['Text messages'],"['Offender', 'Police']",,,Not specified,High,2,success,,Online Gambling  Betting,Online Gambling  Betting
Employment Fraud,"The complainant applied for a telecalling job via ""apna Job"". After an interview, ""resource management"" charged twelve hundred for laptop security and an additional six hundred for insurance. No work was provided as promised.","The offenders advertised a work-from-home telecalling job, conducted an in-person interview, and then fraudulently collected money from the applicant under the pretense of security deposits for equipment and insurance, without providing the promised employment.",['apna Job'],"['resource management', 'complainant']",,,1800,Medium,3,success,,Online and Social Media Related Crime,Online Job Fraud
Fraud,"The victim received a call from a lady promising a new Vivo phone. A parcel was subsequently received at Kurnool head post office on 'th February' via post, but it did not contain the promised mobile phone.","The offender initiated contact via phone call, promising a new Vivo phone. A deceptive parcel was then sent through postal service to the victim, which did not contain the promised item.","['Phone call', 'Postal service']","['lady', 'Vivo', 'Kurnool head post office']",Kurnool head post office,th February,Not specified,Medium,4,success,,Online Financial Fraud,Fraud CallVishing
Fraud,"Report of a fraudulent transaction involving UPI, Paytm, and bank accounts linked to Punjab National Bank, Oriental Bank of Commerce, and United Bank of India, with a request for reversal of the total amount.","Fraudulent financial transaction conducted using UPI and Paytm, involving bank accounts.","['UPI', 'Paytm', 'Bank']","['Punjab National Bank', 'Oriental Bank of Commerce', 'United Bank of India']",,,Not specified,Medium,5,success,,Online Financial Fraud,UPI Related Frauds
Cyberstalking/Harassment,"Prabhat Singh Jat is facing severe harassment from the 'rupeestarsago' app, found on Playstore. The app, without any loan application, copied his contact list and is demanding repayment, continuously calling and abusing his contacts and relatives. This has led to extreme mental distress, defaming him and causing suicidal thoughts.","The offender, operating through the 'rupeestarsago' app, illegally accessed and copied the complainant's contact list. They then initiated fraudulent loan repayment demands, harassing the complainant and his contacts/relatives through continuous phone calls, employing abusive language, defaming the complainant, and causing severe mental distress, including suicidal ideation.","['Playstore', 'rupeestarsago', 'mobile phone']","['Prabhat Singh Jat', 'rupeestarsago', 'Playstore', 'contacts and relatives']",,,Not specified,High,6,success,,Online Financial Fraud,Fraud CallVishing
Financial Fraud,A case of financial fraud has been reported.,,[],[],,,Not specified,Medium,7,success,,Online Financial Fraud,Internet Banking Related Fraud
Cyber Harassment,Abusive messages containing the complainant's friend's name and number were sent to the complainant and subsequently forwarded to all their friends via WhatsApp.,Sending abusive messages that include personal details (friend's name and number) to the victim and their contacts.,['Whatsapp'],"['Complainant', 'Friend', 'Other friends']",,,Not specified,Medium,8,success,,RapeGang Rape RGRSexually Abusive Content,Unknown
Impersonation Fraud,"An individual impersonating an Army officer attempted to defraud the complainant by requesting a nominal transfer (Re) to their account, under the pretext of confirming the complainant's bank account for a rental agreement.","The offender contacted the complainant, falsely claiming to be an Army officer interested in renting a place. The offender then requested the complainant to transfer Re 1 to the offender's account as a 'confirmation' step for the complainant's bank account, promising to return the amount.",[],"['Offender (impersonating Army officer)', 'Complainant']",,,Not specified,Medium,9,success,,Any Other Cyber Crime,Other
